"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$171,691,185,670","0.00%","0.00","0.00","0.00","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$168,460,698,345","1.36%","0.00","0.00","0.00","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$164,012,009,168","2.77%","0.00","0.00","0.00","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$158,833,728,170","4.80%","0.00","0.00","0.00","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$158,627,104,973","6.67%","0.00","0.00","0.00","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$158,028,808,000","0.00%","0.00","0.00","0.00","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$157,640,008,450","2.64%","0.00","0.00","0.00","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$156,731,819,411","3.28%","0.00","0.00","0.00","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$154,296,266,757","2.73%","0.00","0.00","0.00","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$152,954,902,420","3.22%","0.00","0.00","0.00","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$152,498,638,677","2.97%","0.00","0.00","0.00","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$146,932,574,461","2.14%","0.00","0.00","0.00","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$144,669,330,123","2.83%","0.00","0.00","0.00","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$144,361,029,655","1.83%","0.00","0.00","0.00","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$140,644,041,219","3.91%","0.00","0.00","0.00","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$140,415,707,393","0.00%","0.00","0.00","0.00","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$140,401,187,746","1.08%","0.00","0.00","0.00","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$136,436,910,000","2.39%","0.00","0.00","0.00","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$135,492,376,759","4.32%","0.00","0.00","0.00","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$134,750,000,000","0.00%","0.00","0.00","0.00","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$132,329,798,577","0.99%","0.00","0.00","0.00","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$132,290,188,700","2.17%","0.00","0.00","0.00","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$131,691,100,000","6.48%","0.00","0.00","0.00","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$131,656,797,266","1.73%","0.00","0.00","0.00","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$130,528,357,848","2.32%","0.00","0.00","0.00","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$127,155,666,108","2.33%","0.00","0.00","0.00","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$124,836,360,984","0.98%","0.00","0.00","0.00","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$122,037,132,823","2.48%","0.00","0.00","0.00","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$122,025,585,560","1.95%","0.00","0.00","0.00","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$117,828,720,000","0.94%","0.00","0.00","0.00","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$117,685,247,622","0.67%","0.00","0.00","0.00","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$117,293,682,000","1.93%","0.00","0.00","0.00","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$116,629,020,000","5.08%","0.00","0.00","0.00","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$115,156,030,781","1.28%","0.00","0.00","0.00","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$112,227,893,392","1.94%","0.00","0.00","0.00","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$111,784,952,564","0.00%","0.00","0.00","0.00","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$111,139,710,247","0.00%","0.00","0.00","0.00","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$110,875,155,898","3.25%","0.00","0.00","0.00","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$107,888,406,162","1.67%","0.00","0.00","0.00","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$106,867,156,947","2.72%","0.00","0.00","0.00","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$104,804,880,467","3.29%","0.00","0.00","0.00","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$102,363,391,820","2.56%","0.00","0.00","0.00","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$102,324,729,859","1.33%","0.00","0.00","0.00","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$99,177,379,570","0.00%","0.00","0.00","0.00","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$94,324,320,094","0.93%","0.00","0.00","0.00","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$92,715,332,605","1.13%","0.00","0.00","0.00","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$91,851,500,848","2.11%","0.00","0.00","0.00","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$90,891,956,360","1.45%","0.00","0.00","0.00","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$89,991,200,409","1.49%","0.00","0.00","0.00","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$89,056,494,687","4.37%","0.00","0.00","0.00","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$89,019,673,366","0.49%","0.00","0.00","0.00","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$88,946,618,000","0.98%","0.00","0.00","0.00","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$87,435,927,151","1.76%","0.00","0.00","0.00","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$85,497,158,549","1.30%","0.00","0.00","0.00","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$84,514,780,000","0.00%","0.00","0.00","0.00","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$84,465,095,486","7.50%","0.00","0.00","0.00","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$82,800,214,175","0.00%","0.00","0.00","0.00","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$81,847,406,318","1.27%","0.00","0.00","0.00","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$80,312,841,750","0.00%","0.00","0.00","0.00","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$80,274,508,998","0.00%","0.00","0.00","0.00","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$79,547,484,348","3.80%","0.00","0.00","0.00","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$79,163,643,797","0.00%","0.00","0.00","0.00","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$77,842,543,838","0.00%","0.00","0.00","0.00","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$76,609,906,906","3.78%","0.00","0.00","0.00","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$74,058,124,145","1.50%","0.00","0.00","0.00","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$73,969,959,231","2.29%","0.00","0.00","0.00","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$72,133,064,492","1.94%","0.00","0.00","0.00","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$71,988,786,454","1.37%","0.00","0.00","0.00","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$71,509,426,073","1.29%","0.00","0.00","0.00","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$69,695,354,152","4.65%","0.00","0.00","0.00","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$69,309,566,376","0.87%","0.00","0.00","0.00","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$69,180,776,490","0.91%","0.00","0.00","0.00","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$68,877,329,899","2.20%","0.00","0.00","0.00","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$68,685,693,176","1.22%","0.00","0.00","0.00","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$68,368,182,268","1.98%","0.00","0.00","0.00","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$67,934,764,188","2.65%","0.00","0.00","0.00","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$67,576,446,285","0.00%","0.00","0.00","0.00","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$67,059,643,174","1.58%","0.00","0.00","0.00","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$66,265,895,421","2.32%","0.00","0.00","0.00","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$66,023,331,840","0.59%","0.00","0.00","0.00","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$65,094,086,234","1.75%","0.00","0.00","0.00","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$64,715,711,225","0.00%","0.00","0.00","0.00","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$64,443,784,691","0.96%","0.00","0.00","0.00","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$64,172,872,000","1.99%","0.00","0.00","0.00","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$63,858,260,289","1.37%","0.00","0.00","0.00","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$63,652,678,140","4.28%","0.00","0.00","0.00","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$63,325,957,827","0.71%","0.00","0.00","0.00","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$62,923,093,327","2.27%","0.00","0.00","0.00","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$60,344,593,717","3.79%","0.00","0.00","0.00","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$60,293,454,576","0.61%","0.00","0.00","0.00","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$59,827,902,923","1.90%","0.00","0.00","0.00","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$59,551,841,500","0.79%","0.00","0.00","0.00","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$59,535,439,177","4.28%","0.00","0.00","0.00","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$58,050,270,386","1.77%","0.00","0.00","0.00","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$57,879,653,008","0.81%","0.00","0.00","0.00","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$57,791,608,000","2.08%","0.00","0.00","0.00","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$57,567,401,611","1.15%","0.00","0.00","0.00","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$57,150,715,972","2.69%","0.00","0.00","0.00","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$56,358,371,141","0.95%","0.00","0.00","0.00","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$55,330,291,257","0.83%","0.00","0.00","0.00","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$55,047,533,289","4.74%","0.00","0.00","0.00","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$54,523,984,000","0.94%","0.00","0.00","0.00","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$54,497,928,749","0.47%","0.00","0.00","0.00","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$54,469,806,703","11.32%","0.00","0.00","0.00","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$53,241,174,470","3.66%","0.00","0.00","0.00","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$53,165,674,063","0.00%","0.00","0.00","0.00","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$52,882,823,803","2.03%","0.00","0.00","0.00","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$52,791,130,539","0.54%","0.00","0.00","0.00","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$52,723,131,310","2.59%","0.00","0.00","0.00","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$51,993,232,813","2.23%","0.00","0.00","0.00","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$51,833,468,315","2.38%","0.00","0.00","0.00","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$51,472,088,191","2.74%","0.00","0.00","0.00","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$51,113,436,744","0.00%","0.00","0.00","0.00","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$50,978,216,266","1.71%","0.00","0.00","0.00","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$50,968,079,510","0.00%","0.00","0.00","0.00","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$50,610,433,646","3.18%","0.00","0.00","0.00","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$50,607,080,924","0.00%","0.00","0.00","0.00","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$50,434,256,539","0.63%","0.00","0.00","0.00","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$49,388,221,400","4.44%","0.00","0.00","0.00","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$49,193,195,386","3.92%","0.00","0.00","0.00","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$48,631,125,809","0.97%","0.00","0.00","0.00","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$48,400,930,800","1.63%","0.00","0.00","0.00","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$47,868,190,533","3.73%","0.00","0.00","0.00","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$46,999,554,519","0.00%","0.00","0.00","0.00","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$46,945,150,275","3.29%","0.00","0.00","0.00","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$46,926,499,606","0.00%","0.00","0.00","0.00","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$46,876,511,034","0.00%","0.00","0.00","0.00","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$46,637,735,947","0.91%","0.00","0.00","0.00","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$46,555,127,427","2.03%","0.00","0.00","0.00","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$46,534,580,775","0.56%","0.00","0.00","0.00","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$46,337,338,361","2.34%","0.00","0.00","0.00","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$46,231,951,498","3.23%","0.00","0.00","0.00","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$45,830,040,642","0.54%","0.00","0.00","0.00","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$45,700,143,813","2.07%","0.00","0.00","0.00","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$45,391,068,520","0.00%","0.00","0.00","0.00","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$45,235,364,762","0.00%","0.00","0.00","0.00","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$44,805,086,630","0.00%","0.00","0.00","0.00","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$44,459,768,273","1.96%","0.00","0.00","0.00","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$44,447,629,048","1.22%","0.00","0.00","0.00","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$44,210,341,970","2.45%","0.00","0.00","0.00","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$44,084,156,400","0.93%","0.00","0.00","0.00","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$43,767,696,738","2.25%","0.00","0.00","0.00","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$43,166,444,850","0.00%","0.00","0.00","0.00","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$43,019,175,164","1.98%","0.00","0.00","0.00","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$42,966,606,409","2.57%","0.00","0.00","0.00","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$42,954,007,230","1.37%","0.00","0.00","0.00","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$42,849,533,346","1.01%","0.00","0.00","0.00","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$42,643,109,378","0.00%","0.00","0.00","0.00","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$42,552,033,725","3.12%","0.00","0.00","0.00","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$42,397,678,317","0.00%","0.00","0.00","0.00","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$41,979,280,731","0.82%","0.00","0.00","0.00","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$41,861,162,918","1.51%","0.00","0.00","0.00","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$41,623,605,826","0.00%","0.00","0.00","0.00","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$41,515,425,422","2.04%","0.00","0.00","0.00","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$40,814,384,238","4.98%","0.00","0.00","0.00","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$40,715,312,400","1.05%","0.00","0.00","0.00","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$40,706,608,906","5.95%","0.00","0.00","0.00","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$40,551,768,652","4.50%","0.00","0.00","0.00","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$40,477,104,000","4.13%","0.00","0.00","0.00","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$40,436,043,877","1.05%","0.00","0.00","0.00","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$40,026,956,970","0.00%","0.00","0.00","0.00","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$39,857,546,588","0.92%","0.00","0.00","0.00","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$39,787,370,327","0.00%","0.00","0.00","0.00","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$39,674,829,611","2.43%","0.00","0.00","0.00","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$39,350,304,595","1.56%","0.00","0.00","0.00","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$39,138,680,641","5.63%","0.00","0.00","0.00","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$38,646,688,788","2.69%","0.00","0.00","0.00","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$38,135,218,050","1.67%","0.00","0.00","0.00","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$37,970,040,000","4.62%","0.00","0.00","0.00","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$37,952,246,829","1.34%","0.00","0.00","0.00","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$37,950,511,020","1.34%","0.00","0.00","0.00","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$37,788,504,665","1.82%","0.00","0.00","0.00","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$37,393,031,617","4.59%","0.00","0.00","0.00","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$37,253,105,175","0.00%","0.00","0.00","0.00","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$36,872,082,055","2.45%","0.00","0.00","0.00","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$36,795,541,113","0.33%","0.00","0.00","0.00","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$36,746,182,120","1.74%","0.00","0.00","0.00","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$36,628,254,357","1.36%","0.00","0.00","0.00","Analyze"
